SMILES,file_name,num,1,2,3,4,e1,e2,e3,e4
COCC1=CC=CC=C1,re_1_54,3,5,6,7,,"1,0,0","0,1,0","0,0,1","0,0,0"
CC([Si](OC1=CC=CC=C1)(C(C)C)C(C)C)C,re_1_55,3,6,7,8,,"1,0,0","0,-1,0","0,0,1","0,0,0"
C12=CC=CC=C1OCO2,re_1_56,2,2,3,,,"1,-1,0","0,-1,1","0,0,0","0,0,0"
COC1=CC2=CC=CC=C2C=C1,re_1_57,3,4,12,11,,"2,1,0","1,1,1","1,0,0","0,0,0"
C1(OCCN2CCCCC2)=CC=CC=C1,re_1_58,3,11,12,13,,"1,0,0","0,-1,0","0,0,1","0,0,0"
OCCOC1=CC=CC=C1,re_1_59,3,6,7,8,,"1,0,0","0,-1,0","0,0,1","0,0,0"
COC1=CC=CC=C1,re_1_60,3,4,5,6,,"1,0,0","0,-1,0","0,0,1","0,0,0"
CCOC1=CC=CC=C1,re_1_61,3,5,6,7,,"1,0,0","0,-1,0","0,0,1","0,0,0"
CCCOC1=CC=CC=C1,re_1_62,3,6,7,8,,"1,0,0","0,-1,0","0,0,1","0,0,0"
C1(OCC2=CC=CC=C2)=CC=CC=C1,re_1_63,3,10,11,12,,"1,0,0","0,-1,0","0,0,1","0,0,0"
ClC(C=C1)=CC=C1COC2=CC=CC=C2,re_1_64,3,11,12,13,,"1,0,0","0,-1,0","0,0,1","0,0,0"
CC(C=C1)=CC=C1COC2=CC=CC=C2,re_1_65,3,11,12,13,,"1,0,0","0,-1,0","0,0,1","0,0,0"
C1(OC2=CC=CC=C2)=CC=CC=C1,re_1_66,3,4,5,6,,"1,0,0","0,-1,0","0,0,1","0,0,0"
FC1=CC=CC=C1,re_1_67,3,3,4,5,,,,,
